Title,Tier,Difficulty,OS,Category,URL,Scenario
Cohort,🟢 FREE,Easy,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/Cohort,當期線上常規主機攻堅演練 (20 pts) ｜ 發布日期: 2026-08-01
DarkZeroReturns,🟢 FREE,Hard,Windows,Machine (Active Pentest),https://app.hackthebox.com/machines/DarkZeroReturns,當期線上常規主機攻堅演練 (40 pts) ｜ 發布日期: 2026-07-25
Bedside,🟢 FREE,Medium,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/Bedside,當期線上常規主機攻堅演練 (30 pts) ｜ 發布日期: 2026-07-18
Paperwork,🟢 FREE,Easy,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/Paperwork,當期線上常規主機攻堅演練 (20 pts) ｜ 發布日期: 2026-07-11
MakeSense,🟢 FREE,Medium,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/MakeSense,當期線上常規主機攻堅演練 (30 pts) ｜ 發布日期: 2026-07-04
Enigma,🟢 FREE,Easy,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/Enigma,當期線上常規主機攻堅演練 (20 pts) ｜ 發布日期: 2026-06-27
Nimbus,🟢 FREE,Hard,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/Nimbus,當期線上常規主機攻堅演練 (40 pts) ｜ 發布日期: 2026-06-20
Checkpoint,🟢 FREE,Medium,Windows,Machine (Active Pentest),https://app.hackthebox.com/machines/Checkpoint,當期線上常規主機攻堅演練 (30 pts) ｜ 發布日期: 2026-06-13
Connected,🟢 FREE,Easy,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/Connected,當期線上常規主機攻堅演練 (20 pts) ｜ 發布日期: 2026-06-06
DevHub,🟢 FREE,Medium,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/DevHub,當期線上常規主機攻堅演練 (30 pts) ｜ 發布日期: 2026-05-30
Reactor,🟢 FREE,Easy,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/Reactor,當期線上常規主機攻堅演練 (20 pts) ｜ 發布日期: 2026-05-23
SmartHire,🟢 FREE,Medium,Linux,Machine (Active Pentest),https://app.hackthebox.com/machines/SmartHire,當期線上常規主機攻堅演練 (30 pts) ｜ 發布日期: 2026-05-16
PingPong,🟢 FREE,Insane,Windows,Machine (Active Pentest),https://app.hackthebox.com/machines/PingPong,當期線上常規主機攻堅演練 (50 pts) ｜ 發布日期: 2026-04-25
Garfield,🟢 FREE,Hard,Windows,Machine (Active Pentest),https://app.hackthebox.com/machines/Garfield,當期線上常規主機攻堅演練 (40 pts) ｜ 發布日期: 2026-04-04
Eloquia,🟢 FREE,Insane,Windows,Machine (Active Pentest),https://app.hackthebox.com/machines/Eloquia,當期線上常規主機攻堅演練 (50 pts) ｜ 發布日期: 2025-12-13
Cap,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Cap,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2021-06-05
Fireflow,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Fireflow,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-06-23
Odyssey,🔴 VIP+,Insane,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Odyssey,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-06-23
Ghostlink,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Ghostlink,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-06-23
Nexus,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Nexus,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-06-23
Orion,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Orion,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-06-23
Abducted,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Abducted,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-06-05
Silentium,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Silentium,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-04-11
Snapped,🔴 VIP+,Hard,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Snapped,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-03-23
Principal,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Principal,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-03-12
Hercules,🔴 VIP+,Insane,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Hercules,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-18
TwoMillion,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/TwoMillion,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2023-06-07
Support,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Support,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2022-07-30
Helix,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Helix,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-05-09
Logging,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Logging,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-04-18
DevArea,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/DevArea,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-03-28
Kobold,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Kobold,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-03-21
VariaType,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/VariaType,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-03-14
CCTV,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/CCTV,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-03-07
Pirate,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Pirate,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-02-28
Interpreter,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Interpreter,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-02-21
Barrier,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Barrier,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-02-12
WingData,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/WingData,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-02-14
Pterodactyl,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Pterodactyl,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-02-07
Facts,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Facts,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-01-31
Overwatch,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Overwatch,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-01-24
AirTouch,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/AirTouch,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-01-17
Browsed,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Browsed,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2026-01-10
MonitorsFour,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/MonitorsFour,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-12-06
Gavel,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Gavel,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-11-29
Fries,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Fries,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-11-22
Eighteen,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Eighteen,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-11-15
NanoCorp,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/NanoCorp,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-11-08
JobTwo,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/JobTwo,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-11-06
Giveback,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Giveback,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-11-01
Dump,🔴 VIP+,Hard,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Dump,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-30
Store,🔴 VIP+,Hard,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Store,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-28
Conversor,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Conversor,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-25
Atlas,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Atlas,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-23
Bruno,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Bruno,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-21
Signed,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Signed,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-11
ReaperTwo,🔴 VIP+,Insane,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/ReaperTwo,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-16
Slonik,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Slonik,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-14
Breach,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Breach,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-09
Bamboo,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Bamboo,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-07
Watcher,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Watcher,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-02
Job,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Job,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-30
DarkZero,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/DarkZero,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-10-04
Imagery,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Imagery,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-27
BabyTwo,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/BabyTwo,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-25
RainbowTwo,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/RainbowTwo,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-23
Baby,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Baby,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-18
Expressway,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Expressway,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-20
Forgotten,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Forgotten,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-16
HackNet,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/HackNet,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-13
Delegate,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Delegate,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-11
Soulmate,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Soulmate,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-06
Media,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Media,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-04
Race,🔴 VIP+,Hard,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Race,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-09-02
Sendai,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Sendai,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-28
Reaper,🔴 VIP+,Insane,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Reaper,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-26
Guardian,🔴 VIP+,Hard,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Guardian,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-30
Previous,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Previous,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-23
Lock,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Lock,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-21
Phantom,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Phantom,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-19
Sweep,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Sweep,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-14
Zero,🔴 VIP+,Insane,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Zero,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-12
CodePartTwo,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/CodePartTwo,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-16
Cobblestone,🔴 VIP+,Insane,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Cobblestone,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-09
Rainbow,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Rainbow,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-07
Build,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Build,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-05
LustrousTwo,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/LustrousTwo,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-31
Manage,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Manage,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-29
Ten,🔴 VIP+,Hard,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Ten,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-24
RetroTwo,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/RetroTwo,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-22
Editor,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Editor,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-08-02
Era,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Era,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-26
Mirage,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Mirage,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-19
Redelegate,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Redelegate,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-17
Reset,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Reset,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-15
VulnEscape,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/VulnEscape,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-08
VulnCicada,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/VulnCicada,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-03
Data,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Data,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-01
Outbound,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Outbound,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-12
Retro,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Retro,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-06-24
Voleur,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Voleur,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-07-05
RustyKey,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/RustyKey,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-06-28
Artificial,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Artificial,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-06-21
Shibuya,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Shibuya,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-06-19
Down,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Down,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-06-17
Sorcery,🔴 VIP+,Insane,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Sorcery,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-06-14
TombWatcher,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/TombWatcher,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-06-07
Certificate,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Certificate,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-05-31
Fluffy,🔴 VIP+,Easy,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Fluffy,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-05-24
Puppy,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Puppy,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-05-17
Planning,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Planning,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-05-10
Environment,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Environment,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-05-03
Eureka,🔴 VIP+,Hard,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Eureka,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-04-26
Scepter,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Scepter,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-04-19
Nocturnal,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Nocturnal,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-04-12
WhiteRabbit,🔴 VIP+,Insane,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/WhiteRabbit,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-04-05
Haze,🔴 VIP+,Hard,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/Haze,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-03-29
Code,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Code,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-03-22
TheFrizz,🔴 VIP+,Medium,Windows,Machine (Retired Archive),https://app.hackthebox.com/machines/TheFrizz,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-03-15
Dog,🔴 VIP+,Easy,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Dog,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-03-08
Cypher,🔴 VIP+,Medium,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Cypher,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-03-01
Checker,🔴 VIP+,Hard,Linux,Machine (Retired Archive),https://app.hackthebox.com/machines/Checker,歷史經典滲透主機歸檔（需 VIP+ 訂閱啟動）｜ 發布日期: 2025-02-22
